ADX_THRESHOLD_LONG,ADX_THRESHOLD_SHORT,ROC_THRESHOLD_LONG,ROC_THRESHOLD_SHORT,TARGET_MULTIPLIER,STOP_LOSS_ATR_MULT,MAX_HOLDING_DAYS,PARTIAL_EXIT_THRESHOLD,sharpe_oos,n_trades
30,35,0.8,1.2,2.0,1.0,3,0.05,2.327465293166748,321
30,35,0.8,1.2,2.0,1.0,3,0.07,2.319478979357408,321
30,35,0.8,1.2,1.5,1.0,3,0.1,2.28998104539334,330
30,35,0.8,1.2,1.5,1.0,3,0.07,2.2876922130319857,330
30,35,0.8,1.2,2.0,1.0,3,0.1,2.2857471476036255,321
30,35,0.8,1.2,1.5,1.0,3,0.05,2.269081116397127,330
30,30,0.8,1.2,2.0,1.0,3,0.05,2.252273489264098,339
30,30,0.8,1.2,1.5,1.0,3,0.1,2.24333479478214,348
30,30,0.8,1.2,1.5,1.0,3,0.07,2.2397818798169467,348
30,30,0.8,1.2,2.0,1.0,3,0.07,2.230763046390679,339
30,30,0.8,1.2,1.5,1.0,3,0.05,2.2168273865319184,348
30,35,0.8,0.8,2.0,1.0,3,0.05,2.204792096084835,324
30,35,0.8,0.8,2.0,1.0,3,0.07,2.197013350650214,324
30,35,0.8,1.2,1.2,1.0,3,0.1,2.1875078308945066,339
30,35,0.8,1.2,1.2,1.0,3,0.07,2.1858260959673044,339
30,30,0.8,1.2,2.0,1.0,3,0.1,2.182870510514314,339
30,35,0.8,1.2,1.2,1.0,3,0.05,2.1742847488578474,339
30,35,0.8,0.8,1.5,1.0,3,0.1,2.1699101550854842,333
30,35,0.8,0.5,2.0,1.0,3,0.05,2.1667135699784534,327
30,35,0.8,0.8,2.0,1.0,3,0.1,2.16557302014416,324
30,35,0.8,0.8,1.5,1.0,3,0.07,2.1652452541444007,333
30,35,0.8,0.5,2.0,1.0,3,0.07,2.1583891348168653,327
30,35,0.8,0.8,1.5,1.0,3,0.05,2.1464280145608106,333
30,30,0.8,0.8,2.0,1.0,3,0.05,2.1296002921821846,342
30,35,0.8,0.5,2.0,1.0,3,0.1,2.1274821361241623,327
30,35,0.8,0.5,1.5,1.0,3,0.1,2.1262278005550863,336
30,30,0.8,0.8,1.5,1.0,3,0.1,2.1232639044742845,351
30,35,0.8,0.5,1.5,1.0,3,0.07,2.1214076673437825,336
30,30,0.8,0.8,1.5,1.0,3,0.07,2.1173349209293617,351
30,30,0.8,1.2,1.2,1.0,3,0.07,2.1120401144514784,357
30,30,0.8,0.8,2.0,1.0,3,0.07,2.108297417683485,342
30,30,0.8,1.2,1.2,1.0,3,0.1,2.10650877680682,357
30,30,0.8,0.5,2.0,1.0,3,0.05,2.1052370614089972,345
30,30,0.8,1.2,1.2,1.0,3,0.05,2.103953610560835,357
30,35,0.8,0.5,1.5,1.0,3,0.05,2.1029857434647266,336
30,30,0.8,0.5,1.5,1.0,3,0.1,2.096148410157171,354
30,30,0.8,0.8,1.5,1.0,3,0.05,2.094174284695602,351
30,30,0.8,0.5,1.5,1.0,3,0.07,2.0899055988537216,354
30,35,0.8,1.2,1.5,1.0,7,0.1,2.0854022783945685,321
30,30,0.8,0.5,2.0,1.0,3,0.07,2.0837314177336297,345
30,30,0.8,0.5,1.5,1.0,3,0.05,2.0668765955150348,354
